Production Country,No of Movies
Albania,25
Algeria,27
Angola,4
Argentina,456
Armenia,10
Australia,426
Austria,219
Azerbaijan,12
Bahamas,5
Bangladesh,65
Belgium,753
Bhutan,4
Bolivia,13
Bosnia and Herzegovina,70
Brazil,460
Brunei,1
Bulgaria,126
Burkina Faso,6
Cambodia,9
Canada,1388
Chile,150
China,549
Colombia,118
Costa Rica,13
Croatia,147
Cuba,29
Cyprus,19
Czech Republic,218
Denmark,424
Dominican Republic,24
East Germany,0
Ecuador,13
Egypt,156
Estonia,72
Ethiopia,6
Federal Republic of Yugoslavia,13
Finland,280
France,3203
Georgia,45
Germany,2032
Ghana,5
Gibraltar,0
Greece,226
Greenland,3
Guatemala,9
Honduras,2
Hong Kong,395
Hungary,239
Iceland,87
India,2768
Indonesia,167
Iran,499
Iraq,22
Ireland,253
Israel,209
Italy,898
Jamaica,4
Japan,1131
Jordan,24
Kazakhstan,32
Korea,702
Kosovo,16
Kuwait,2
Kyrgyzstan,10
Latvia,47
Lebanon,53
Lithuania,64
Luxembourg,131
Malaysia,45
Mali,3
Malta,16
Mexico,420
Moldova,5
Mongolia,4
Montenegro,20
Morocco,57
Mozambique,2
Myanmar,6
Nepal,28
Netherlands,531
New Zealand,84
Nigeria,17
North Korea,1
Norway,285
Pakistan,48
Palestine,23
Panama,10
Paraguay,5
Peru,34
Philippines,167
Poland,403
Portugal,218
Puerto Rico,20
Republic of North Macedonia,60
Romania,205
Russia,517
Senegal,13
Serbia,169
Serbia and Montenegro,7
Singapore,65
Slovakia,69
Slovenia,88
South Africa,134
South Korea,701
Spain,956
Sri Lanka,30
Sweden,548
Switzerland,296
Syria,2
Taiwan,154
Thailand,155
Trinidad and Tobago,6
Tunisia,33
Turkey,555
United Kingdom,2222
Ukraine,79
United Arab Emirates,71
Uruguay,46
United States of America,8043
Venezuela,40
Vietnam,39
Yemen,4
Yugoslavia,13
